SPAN   NONBLANK LOCATOR  name
14     13     runner/runtime.py:825-838  _executable
14     13     runner/orchestration.py:339-352  reserve_bounded
13     13     src/pheroos_interaction/sequential.py:257-269  next_step
13     13     runner/session.py:433-445  snapshot
13     13     runner/runtime_policies.py:230-242  from_spec
13     13     runner/runtime.py:181-193  _brief
13     13     runner/platform.py:320-332  mark_no_entry
13     13     runner/orchestration.py:205-217  abstain_task
13     13     runner/evidence.py:93-105  _source_declaration
13     12     runner/session.py:371-383  publish_received
13     12     runner/runtime_policies.py:78-90  _scan
12     12     src/pheroos_interaction/sequential.py:376-387  walk
12     12     runner/tools.py:71-82  _open_within
12     12     runner/tools.py:271-282  _expected_totals
12     12     runner/session.py:261-272  dispatch
12     11     runner/orchestration.py:545-556  commit
12     11     runner/contracts.py:288-299  worker_order
12     11     runner/contracts.py:387-398  rule_spec
11     11     src/pheroos_interaction/sequential.py:457-467  recurse
11     11     src/pheroos_interaction/sequential.py:423-433  _check_box
11     11     src/pheroos_interaction/inspection.py:169-179  apply_plan
11     11     src/pheroos_interaction/commitment.py:338-348  rule
11     11     runner/worker.py:41-51  _release
11     11     runner/session.py:328-338  _publish
11     11     runner/session.py:120-130  _lease
11     11     runner/runtime.py:236-246  _tool_result
11     11     runner/runtime.py:66-76  _merge
11     11     runner/runtime.py:261-271  _declarations
11     11     runner/platform.py:110-120  _event
11     11     runner/platform.py:374-384  _abstain
11     11     runner/orchestration.py:708-718  _snapshot_extra
11     11     runner/audit.py:163-173  _effective_reads
11     11     runner/anthropic.py:331-341  _base_url
11     11     runner/anthropic.py:390-400  __init__
11     10     src/pheroos_interaction/sequential.py:244-254  choose_horizon
11     10     runner/orchestration.py:558-568  _publish_received
10     10     src/pheroos_interaction/sequential.py:391-400  _to_unit_square
10     10     src/pheroos_interaction/sequential.py:481-490  _repeats
10     10     src/pheroos_interaction/inspection.py:103-112  _branch_costs
10     10     src/pheroos_interaction/commitment.py:287-296  fill
10     10     runner/tools.py:252-261  _resolve
10     10     runner/tools.py:344-353  _category_totals
10     10     runner/session.py:152-161  claim
10     10     runner/runtime_policies.py:67-76  _arguments
10     10     runner/runtime.py:787-796  _save
10     10     runner/platform.py:309-318  renew
10     10     runner/platform.py:455-464  _snapshot_extra
10     10     runner/inspection.py:59-68  _save
10     10     runner/evidence.py:173-182  _access
10     10     runner/contracts.py:484-493  run_limits
10     10     runner/audit.py:124-133  calls_of
10     10     runner/anthropic.py:344-353  _detail
10     9      src/pheroos_interaction/sequential.py:105-114  stop_terms
10     9      src/pheroos_interaction/sequential.py:327-336  policy_risk_exact
9      9      src/pheroos_interaction/sequential.py:315-323  walk
9      9      src/pheroos_interaction/sequential.py:278-286  walk
9      9      src/pheroos_interaction/sequential.py:569-577  tree_digest
9      9      src/pheroos_interaction/sequential.py:177-185  _channels
9      9      src/pheroos_interaction/commitment.py:88-96  commitment_flow
9      9      runner/tools.py:85-93  _read_bounded
9      9      runner/tools.py:60-68  _parse
9      9      runner/tools.py:356-364  _expected_json
9      9      runner/session.py:416-424  _stop
9      9      runner/session.py:138-146  _recover
9      9      runner/policies.py:11-19  _nonnegative
9      9      runner/platform.py:299-307  release
9      9      runner/inspection.py:219-227  read_binary
9      9      runner/evidence.py:72-80  _check_control_capacity
9      9      runner/contracts.py:455-463  tool_spec
9      9      runner/contracts.py:496-504  _acyclic
9      9      runner/audit.py:145-153  artifact_of
9      8      src/pheroos_interaction/commitment.py:69-77  sigma_star
9      8      runner/runtime_policies.py:268-276  select_host_work
9      8      runner/runtime_policies.py:281-289  commitment_rule
8      8      src/pheroos_interaction/sequential.py:167-174  to_json
8      8      runner/tools.py:345-352  execute
8      8      runner/tools.py:334-341  _fixture_read
8      8      runner/session.py:358-365  _publication_access
8      8      runner/provider.py:49-56  __init__
8      8      runner/platform.py:205-212  work_calls
8      8      runner/platform.py:214-221  decompose
8      8      runner/platform.py:132-139  _reservation_capacity
8      8      runner/platform.py:21-28  _loss
8      8      runner/orchestration.py:404-411  _record_decision
8      8      runner/orchestration.py:446-453  _derived_lease
8      8      runner/contracts.py:377-384  decomposition_config
7      7      src/pheroos_interaction/commitment.py:245-251  rule
7      7      src/pheroos_interaction/commitment.py:227-233  _rows
7      7      runner/tools.py:357-363  execute
7      7      runner/tools.py:51-57  _unique
7      7      runner/session.py:316-322  call
7      7      runner/runtime.py:778-784  _unique
7      7      runner/runtime.py:514-520  _reject
7      7      runner/runtime.py:343-349  _attempt
7      7      runner/policies.py:27-33  pick_by_depth
7      7      runner/platform.py:37-43  _unique
7      7      runner/orchestration.py:182-188  work_budget
7      7      runner/orchestration.py:105-111  _declaration
7      7      runner/inspection.py:33-39  _unique
7      7      runner/evidence.py:234-240  read_artifact
7      7      runner/evidence.py:191-197  _inspection_access
7      7      runner/contracts.py:368-374  task_limits
7      7      runner/contracts.py:302-308  agent_spec
